0,1,2
72.886894,33.610405,196.44165
73.010567,33.600708,198.007019
72.66806,33.86253,197.13002
72.915436,33.949802,196.147003
72.553909,34.104958,197.900986
73.705093,34.725582,200.377762
74.247398,34.909828,199.664612
74.428162,35.239529,199.847702
74.409134,34.783764,198.508148
75.132202,35.045586,198.749069
75.579346,35.481956,198.98999
75.343788,35.307411,198.941803
75.532257,35.326805,199.915176
75.579346,35.200737,200.117569
75.843185,35.384987,200.088654
75.946846,35.266193,197.958832
75.541664,34.987068,195.809692
75.419182,34.140064,193.87262
75.00457,33.986065,192.475235
76.163559,33.658813,192.793259
75.730118,33.44706,191.810257
75.635887,33.370056,192.157181
75.258987,33.206432,202.382309
75.494553,33.427814,203.500229
76.191826,33.44706,204.743423
76.182411,33.264183,204.406143
75.946846,33.235306,203.644791
76.191826,33.177555,204.001358
76.587578,33.379688,204.088135
76.295479,32.956181,203.432785
76.286072,32.965809,203.635162
75.946846,32.648178,202.054657
75.532257,32.388309,202.854538
75.588783,32.609684,201.987167
75.494553,32.369053,200.474136
76.182411,33.052437,202.151016
77.360245,32.205425,202.218491
76.069344,32.47493,200.637985
76.041061,32.282429,200.310303
76.823151,32.917683,202.979828
76.427399,32.388309,202.170288
76.549881,32.792553,204.897659
76.898529,32.908054,205.177124
76.399139,33.071682,204.521774
76.73835,33.283436,205.138565
77.558113,33.552937,205.620438
77.982132,34.178558,205.620438
78.669991,33.889812,205.504776
77.511009,33.986065,203.625519
77.331978,34.197815,202.391968
78.170593,34.534691,201.524612
78.142334,34.390316,199.867004
77.388512,34.371063,199.42366
75.965691,35.112194,198.469604
76.238945,34.900444,197.573334
76.521629,34.775318,197.958832
75.494553,34.977444,198.739441
74.910355,34.958195,199.202026
76.041061,34.76569,196.937286
75.852615,34.756065,197.052917
76.417969,34.823441,195.096558
76.841995,34.900444,193.390747
77.030457,34.900444,192.301727
77.539276,34.76569,190.326111
77.812538,34.515446,190.557404
77.539276,34.428818,191.309097
77.200066,34.072689,188.697403
77.030457,33.899437,188.15773
77.256592,33.726189,187.772232
77.784264,34.476936,189.598495
78.019829,34.294064,189.330246
77.784264,34.197815,188.314774
77.840797,34.351814,188.487228
77.181221,34.659813,188.381836
76.832565,35.006321,189.646408
77.37397,35.169949,190.307419
76.561874,35.439445,191.02594
76.207153,35.468323,191.131317
77.196617,35.593449,189.330246
76.589874,35.321541,188.276459
76.59922,34.690971,186.628662
76.216499,34.538105,187.605865
75.852448,35.761028,187.8741
75.983139,35.283325,186.810699
76.291176,35.225998,186.935257
